Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Scope
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,-0.18552875695731075,0.5581169862353972,-1.2820512820512708,0.9225092250922415,0.3046,10000,1122,81.97886338389073,81.79021398359933,PlotQA
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,0.7604562737642624,0.7605581327048849,-0.7092829560081814,2.3412024456521774,0.7761,10000,1122,87.46538954960555,88.22915205850212,Topic Reasoning
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,-0.09199632014718873,0.4146601123479008,-0.9132733274454882,0.7208376630924092,0.3909,10000,1122,75.34858146126366,75.25751230331221,Micro accuracy
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,-1.0,0.7069717430303342,-2.631578947368425,0.0,0.0,10000,1122,78.47891159510857,77.47544031598169,Anomaly Recognition
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,0.9708737864077719,1.677541874756928,-2.3696682464454994,4.285714285714285,0.6638,10000,1122,51.47069534520196,52.41816560594188,Count
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,0.8522727272727337,1.2340030380080198,-1.7157494441075425,3.125188253012045,0.7181,10000,1122,68.240488772441,69.06123742915055,Egocentric Reasoning
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,0.8450704225352155,0.7415871986576257,-0.3378378378378386,2.481389578163771,0.8348,10000,1122,82.53603374317879,83.393549434109,NeedleQA
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,-1.5444015444015378,1.8115242981217465,-5.137020141859342,1.9843246063365592,0.1679,10000,1122,63.68276706148367,62.16069600076545,Order
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,-0.3710575139146499,0.7430764454855562,-1.8451037098171443,1.0714764886276487,0.2613,10000,1122,82.1933536625712,81.81973333229725,PlotQA
InternVL3-8B,MLVU-Dev M-AVG,E48,Full,-0.7604562737642482,0.75862242372158,-2.3258076192199906,0.7118073207930938,0.0956,10000,1122,88.977590226953,88.22331508017497,Topic Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,0.45998160073595784,0.5491976973859025,-0.6213942277091398,1.5617610735302119,0.7939,10000,1122,67.28425063874504,67.74511958069986,Micro accuracy
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,2.5,1.6355126949191447,-0.529100529100532,5.729166666666664,0.9151,10000,1122,60.00332543086044,62.47292918540879,Anomaly Recognition
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,2.4271844660194226,2.4401841141373684,-2.314814814814813,7.23998294970162,0.8132,10000,1122,30.09800694703337,32.52942920269003,Count
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,0.8522727272727266,1.2404603744366163,-1.5527950310559009,3.3004043647608046,0.7172,10000,1122,63.606790049559486,64.46551406162025,Egocentric Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,-1.1267605633803015,1.032803369029573,-3.1847133757961648,0.8671148529781357,0.1077,10000,1122,79.46309531309898,78.33645337707401,NeedleQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,-0.3861003861003809,2.2832349345330907,-4.897959183673464,4.016395251335005,0.4092,10000,1122,59.41940643051596,59.052109749169716,Order
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,-0.18552875695733917,1.0433011007813424,-2.2727272727272805,1.8330874101168035,0.3935,10000,1122,75.87515838465112,75.68651266279869,PlotQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E40,1.1406844106463865,1.3620394740539223,-1.544401544401552,3.831417624521066,0.7569,10000,1122,80.60023479607268,81.73768075695585,Topic Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,0.5059797608095522,0.6349879353871049,-0.7431617930016131,1.7636448672866172,0.7748,10000,1122,67.28346818957918,67.7906339085799,Micro accuracy
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,1.5,2.0683666205817755,-2.5003140703517586,5.627858057435516,0.725,10000,1122,59.98977199710478,61.49792715993859,Anomaly Recognition
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,0.0,2.6388296218932874,-5.056503391497952,5.19514339826839,0.4634,10000,1122,30.09557595959258,30.11332467812893,Count
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,1.1363636363636331,1.3211440233197074,-1.5481078014729988,3.6496862954154,0.7779,10000,1122,63.70433034795645,64.83525865012,Egocentric Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,-1.1267605633803015,1.1331685435159145,-3.4090909090909065,1.0810810810810807,0.1303,10000,1122,79.40754330798444,78.27644844670822,NeedleQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,-0.3861003861003809,2.5258652368210472,-5.415200060168471,4.545454545454547,0.4016,10000,1122,59.4620492262906,59.05102369386565,Order
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,-0.18552875695733917,1.2440624775399298,-2.661723700887205,2.1997802712023087,0.4209,10000,1122,75.87705550642451,75.69831698649669,PlotQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,E48,3.8022813688212977,1.6871701241841022,0.4504504504504606,7.169848906261746,0.9878,10000,1122,80.57691079012814,84.38548189891095,Topic Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,0.9199632014719299,0.4658343655932542,0.04551661356394732,1.8428821733630725,0.9769,10000,1122,67.29297871023704,68.2139346116062,Micro accuracy
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,2.0,1.3822870637193438,-0.5291005291005249,4.784688995215312,0.9009,10000,1122,60.036318913191664,62.025136554587434,Anomaly Recognition
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,2.4271844660194226,2.2161443140824373,-1.8867924528301891,6.806282722513089,0.8385,10000,1122,30.156049332071515,32.591791575094724,Count
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,0.8522727272727266,1.1108297157334022,-1.3089005235601978,3.039539349379773,0.7465,10000,1122,63.65220934654577,64.52205661629405,Egocentric Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,-0.28169014084508603,0.947873387424013,-2.1539083557951546,1.5674801818509942,0.3166,10000,1122,79.41463828035047,79.12064312817823,NeedleQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,0.0,1.8962037319636234,-3.7595557932488104,3.7314206973431605,0.4522,10000,1122,59.45470956215696,59.45381387889683,Order
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,0.927643784786639,0.7603344388149006,-0.5639097744360839,2.424294942492513,0.8664,10000,1122,75.85444015251217,76.78207184066402,PlotQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,Full,1.5209125475285248,1.1919948395005218,-0.7633587786259568,3.982344956457352,0.8723,10000,1122,80.6105966885705,82.13619036009653,Topic Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,0.45998160073597205,0.33809770091066005,-0.19533886766691208,1.1175749384895108,0.9009,10000,1122,67.74803776775951,68.20754228513916,Micro accuracy
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,-0.5,1.115504694507633,-2.778100775193806,1.5873015873015888,0.2381,10000,1122,62.53098915659042,62.01013894006169,Anomaly Recognition
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,0.0,0.9687067441076966,-1.9230769230769234,1.8957345971563981,0.3951,10000,1122,32.496288991304134,32.500233394597146,Count
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,0.0,0.5743593563741138,-1.098901098901095,1.1799410029498532,0.3947,10000,1122,64.49062541899796,64.49956381735184,Egocentric Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,0.8450704225352155,0.6306362221116962,-0.3039513677811527,2.156438221689791,0.8753,10000,1122,78.29360260565392,79.13354035877138,NeedleQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,0.3861003861003809,1.5031023564864097,-2.5270758122743686,3.375725706671734,0.5496,10000,1122,59.068595857777844,59.46181998487653,Order
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,1.1131725417439782,0.7807606490330036,-0.3759753156476101,2.702702702702709,0.9095,10000,1122,75.69289262347179,76.80932314161161,PlotQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,Full,0.3802281368821383,0.8544757163121677,-1.214698331193842,2.112825256624494,0.5813,10000,1122,81.76093298245979,82.14463793418905,Topic Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,0.4139834406623777,0.44902477607824454,-0.4629629629629619,1.29154272844667,0.8083,10000,1122,67.79056395290571,68.2069432568418,Micro accuracy
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,0.5,1.4959997530389721,-2.5,3.4884990352391596,0.5679,10000,1122,61.4950958620053,61.98674968618456,Anomaly Recognition
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,2.4271844660194226,1.5916364540806893,-0.5050505050505052,5.6412429378531055,0.9182,10000,1122,30.144021458782237,32.58122518611949,Count
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,-0.2840909090909065,0.8479107717638417,-1.9283746556473744,1.4662756598240492,0.3056,10000,1122,64.73421916787407,64.4706311771051,Egocentric Reasoning
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,0.8450704225352155,0.6352573913027287,-0.2976190476190368,2.1621621621621614,0.8773,10000,1122,78.28115238822284,79.13351837594988,NeedleQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,0.3861003861003809,1.8461887531034007,-3.200000000000003,4.029304029304029,0.544,10000,1122,59.05375967048101,59.44789844634323,Order
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,1.1131725417439782,0.9375894481987936,-0.6897148311657325,2.990048747166767,0.8595,10000,1122,75.68392868347422,76.78664077611008,PlotQA
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,Full,-2.281368821292773,1.1911967139821886,-4.6875,0.0,0.0149,10000,1122,84.41457579198759,82.13990313545256,Topic Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E40,0.2759889604415804,0.4799296233940687,-0.6738593139856761,1.210436656061325,0.7002,10000,1122,70.41643958008369,70.68991256260782,Micro accuracy
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E40,-2.0,1.5858273600870965,-5.240749253045269,1.0256410256410224,0.0745,10000,1122,72.50879389392313,70.50183471153198,Anomaly Recognition
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E40,-0.4854368932038824,1.771608333056893,-4.0404040404040344,2.9702970297029694,0.3381,10000,1122,35.452578207677846,34.9484565178926,Count
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E40,0.0,1.2074002787205242,-2.521074675927151,2.247191011235955,0.4638,10000,1122,65.35439058374398,65.34090414663841,Egocentric Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E40,0.2816901408450718,0.4914981036627523,-0.617283950617292,1.3072323170105689,0.6063,10000,1122,79.72957802120561,80.01531288453329,NeedleQA
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E40,3.8610038610038586,2.1003728406844675,-0.3461730591159489,7.984790874524705,0.961,10000,1122,61.318413413780554,65.20076312274463,Order
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E40,-1.669758812615953,0.9312992471155792,-3.564736315812356,0.0,0.0208,10000,1122,79.06033967325688,77.37007675682796,PlotQA
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E40,3.4220532319391594,1.2391105709305923,1.1493156093708743,5.970149253731336,0.9981,10000,1122,81.75085485786505,85.18438879466706,Topic Reasoning
